importance,rank
0.23638070902791897,1.0
0.0,38.0
0.0,38.0
0.0,38.0
0.05246594626499568,6.0
0.0,38.0
0.023763511066965535,9.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.21571187066876313,3.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.07272858102010081,5.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.028588656354766782,8.0
0.23261089883765762,2.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.03536076734711498,7.0
0.1023890594117165,4.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
0.0,38.0
